carpark_name,venue_id,venue_name,venue_chi,venue_type
,d444d110-8f0b-4ca4-8da6-72c4a1e6747c,V City, ,shoppingcenter
,b44cf139-5938-408b-af48-649dfd09694e,Tai Po Market Station,大埔墟鐵路站,trainstation
,e0b46dd5-03c0-47b9-bca8-5a0e3e7d8a23,Tseung Kwan O Station,將軍澳鐵路站,trainstation
,c0f44c5a-428f-4aad-b685-e17cb03a9971,Cheung Wah Industrial Building,長華工業大廈,businesscampus
,b20660aa-e70c-4f68-9976-ad43e189af2d,Reason Group Tower,滙城集團大廈,businesscampus
,d8a56ae7-c4e1-42f2-8295-75da2610f05a,International Enterprise Centre 2,國際企業中心二期,businesscampus
,2bc15dfc-bd37-4c4b-8d1f-0e961caa1dfc,83 Tai Lin Pai Road,83 大連排道,businesscampus
,7f585493-62ff-454d-95a6-e9ad08a29106,Megacube,創豪坊,businesscampus
,c1a340b1-0065-411c-892b-39c5a8bd4142,Centre Parc,新明大廈,businesscampus
,669659e0-4b83-4113-a116-b45db6d5794d,CCT Telecom Building,中建電訊大廈,businesscampus
,889dcb57-e012-4cb9-8180-8b33e76c83a8,International Trade Centre,達貿中心,businesscampus
,fc14426e-a7ac-4814-9a85-4be633252aea,Trend Plaza,屯門時代廣場,businesscampus
,00fe3d57-a38d-4b5a-8f27-15045af7380b,COS Centre,中海日升中心,businesscampus
,069568ca-7779-44ea-8773-7a6d9a0839b5,Everest Industrial Centre,毅力工業中心,businesscampus
,1652598f-c2c2-458c-951f-64366586a5e1,Kwai Hing Government Offices,葵興政府合署,governmentfacility
,87a12555-5f85-4e4f-b7a2-afdb703fe7e3,PopCorn 1, ,shoppingcenter
,5b5385db-0989-41b3-ad6b-9bcb2916a16b,Kowloon City Government Offices,九龍城政府合署,governmentfacility
,7c697c97-720f-4f4a-9fa3-fdb6bcd008db,Maritime square,青衣城,shoppingcenter
,44b25699-624e-461b-a452-bba3f796fa23,Grand Central Plaza,新城市中央廣場,shoppingcenter
,9a64c7d4-17fd-4ae9-954c-34ebbcaf2645,Mong Kok East Station,旺角東鐵路站,trainstation
,ec16c323-c77f-4f76-a6ba-2a9a65fe7937,Nam Cheong Station,南昌鐵路站,trainstation
,f9f93951-67f2-4b98-b86c-a3fec6209fe5,Kwun Tong Station,觀塘鐵路站,trainstation
,304a44c9-2c10-4a17-828b-6dbb59d1ddbf,Metro Centre II,美羅中心2期,businesscampus
,6fbe327d-d208-4734-85c8-40e5a3eb5d3b,Millennium City 2,創紀之城二期,businesscampus
,b672b181-8e8f-4e10-8cd1-035241405003,Millennium City 1 Tower 1 and 2,創紀之城一期第一及二座,businesscampus
,069568ca-7779-44ea-8773-7a6d9a0839b5,Everest Industrial Centre,毅力工業中心,businesscampus
,cd730608-8a49-4d4e-b440-77d0c00c74e8,Chinachem Tsuen Wan Plaza,華懋荃灣廣場,businesscampus
,889dcb57-e012-4cb9-8180-8b33e76c83a8,International Trade Centre,達貿中心,businesscampus
,1b5a957e-cfb6-4e19-97c2-7cebe05612be,Peninsula Tower,半島大廈,businesscampus
,c35ffdb7-b7f2-456a-a736-bc27fae5957b,Honour Industrial Centre,安力工業中心,businesscampus
,f9b2a10d-6804-40ed-a0a9-82c3c80383bf,Skyline Plaza,灣景廣場,shoppingcenter
,63e7d8cb-eee6-4144-bca0-bb61e5016212,Premier Centre,時豐中心,businesscampus
,402d0a0a-e6df-4a19-952d-6fc371dedc2e,Causeway Bay Station,銅鑼灣鐵路站,trainstation
,bdefc096-9715-4987-a2d0-910cfdf95132,THE LOHAS,The LOHAS 康城,shoppingcenter
,e279ca60-ec56-4186-8839-09c0048f60c2,Tai Wai Station,大圍鐵路站,trainstation
,b9b2f6ff-582d-40b0-b82d-027e950e6791,Admiralty Station,金鐘鐵路站,trainstation
,c270ead6-7bea-4034-90f5-aca854937177,Tung Chung Station,東涌鐵路站,trainstation
,c270ead6-7bea-4034-90f5-aca854937177,Tung Chung Station,東涌鐵路站,trainstation
