park_id,name,address,district,latitude,longitude
tdcp10,Aberdeen Car Park,"18 Aberdeen Reservoir Road, Aberdeen, Hong Kong",Southern,22.2502727,114.156618
tdc2p1,AIRPORT CAR PARK 1 (HOURLY),"CHEONG SHUN ROAD, Islands District, New Territories",Islands,22.3132234,113.9366562
tdc2p4,AIRPORT CAR PARK 4,"GF-L5, 11 CHEONG TAT ROAD, Hong Kong International Airport, Islands District, New Territories",Islands,22.3175133,113.9344983
tdc121p1,Airside,"2 Concorde Road, Kai Tak, Kowloon, Hong Kong",Kowloon City,22.3311701,114.1983395
104,AIRSIDE,"AIRSIDE, 2 Concorde Road, Kai Tak, San Po Kong, KLN",Wong Tai Sin District,22.3312409,114.198246
125,Arena Carpark,"Kai Tak Sport Park, 38-39 Shing Kai Road, Kowloon, Hong Kong, Kowloon City, KLN",Kowloon City District,22.3254501,114.1966957
tdc17p2,Art Park Car Park,"West Kowloon Cultural District, No.36 Museum Drive, Kowloon, Hong Kong",Yau Tsim Mong,22.3010919,114.1578918
tdc14p8502,Butterfly Car Park,"Butterfly Plaza, 1 Wu Chui Road, Tuen Mun, New Territories",Tuen Mun,22.3756797,113.963193
tdc183p1,Car Park at the park located east of Fan Kam Road,"No. 650 Fan Kam Road, Sheung Shui",North,22.4949528,114.1213413
tdc25p40,Chai Wan Industrial City Phase I,"60 Wing Tai Road, Chai Wan, Hong Kong",Eastern,22.2678318,114.2426071
tdc25p41,Chai Wan Industrial City Phase II,"70 Wing Tai Road, Chai Wan, Hong Kong",Eastern,22.2682381,114.2423859
tdc14p6608,Cheung Fat Car Park,"Cheung Fat Plaza, 6 Tam Kon Shan Road, Tsing Yi, New Territories",Kwai Tsing,22.3624806,114.1032916
tdc14p6610,Cheung On Phase 1 Car Park,"Cheung On Estate Retail and Car Park, 1 Tam Kon Shan Road, Tsing Yi, New Territories",Kwai Tsing,22.361,114.101831
tdc14p6611,Cheung On Phase 2 Car Park,"Cheung On Estate Retail and Car Park, 1 Tam Kon Shan Road, Tsing Yi, New Territories",Kwai Tsing,22.360484,114.104416
tdc10p3,Cheung Sha Wan Government Offices Car Park,"303 Cheung Sha Wan Road, Kowloon",Sham Shui Po,22.3317591,114.1603645
tdc14p2116,Cheung Wah Car Park A,"Cheung Wah Shopping Centre, 38 San Wan Road, Fanling, New Territories",North,22.493288,114.142545
tdc14p2117,Cheung Wah Car Park B,"Cheung Wah Shopping Centre, 38 San Wan Road, Fanling, New Territories",North,22.4930881,114.1401859
tdc14p6645,Cheung Wang Car Park,"Cheung Wang Estate Retail and Car Park, 9 Liu To Road, Tsing Yi, New Territories",Kwai Tsing,22.3571458,114.0956422
tdstt69,Chi Wa Lane Car Park,"Chi Wa Lane, Fanling, New Territories",North,22.4909575,114.1321767
tdc14p6620,Ching Wah Car Park,"Ching Wah Court Retail and Car Park, 22 Tsing Chin Street, Tsing Yi, New Territories",Kwai Tsing,22.349081,114.099421
tdc14p6609,Ching Wang Court Car Park,"Ching Wang Court Car Park, 1 Nga Ying Chau Street, Tsing Yi,  New Territories",Kwai Tsing,22.3619072,114.1044208
tdc129p2,Choi Hing Court Car Park,"1 CHOI SING LANE,Ngau Tau Kok,Kowloon",Kwun Tong,22.3315848,114.2135345
tdc14p1004,Choi Ming Car Park 1,"Choi Ming Shopping Centre, 1 Choi Ming Street, Tiu Keng Leng, Tseung Kwan O, New Territories",Sai Kung,22.30666,114.252446
tdc14p1005,Choi Ming Car Park 2,"Choi Ming Shopping Centre, 1 Choi Ming Street, Tiu Keng Leng, Tseung Kwan O, New Territories",Sai Kung,22.308972,114.255308
tdc14p7732,Choi Wan Car Park A,"Choi Wan Commercial Complex, 45 Clear Water Bay Road, Ngau Chi Wan, Kowloon",Wong Tai Sin,22.3328261,114.2145375
tdc14p7733,Choi Wan Car Park B & C,"Choi Wan Commercial Complex, 45 Clear Water Bay Road, Ngau Chi Wan, Kowloon",Wong Tai Sin,22.3343453,114.2142229
tdc129p3,Choi Ying Estate Car Park,"79 Choi Ha Road, Ngau Tau Kok,Kowloon",Sham Shui Po,22.3282364,114.2143961
tdc14p2118,Choi Yuen Car Park A,"Choi Yuen Plaza, 8 Choi Yuen Road, Sheung Shui, New Territories",North,22.500856,114.126642
tdc14p2120,Choi Yuen Car Park C,"Choi Yuen Plaza, 8 Choi Yuen Road, Sheung Shui, New Territories",North,22.500147,114.126765
tdstt117,Chong San Road Car Park,"Chong San Road, Tai Po, New Territories",Tai Po,22.4351452,114.2009912
tdc14p5528,Chuk Yuen (S) Car Park,"Chuk Yuen Plaza, 15 Chuk Yuen Road, Wong Tai Sin, Kowloon",Wong Tai Sin,22.3439535,114.1941648
tdc14p2101,Chung On Car Park,"Chung On Shopping Centre, 632 Sai Sha Road, Ma On Shan, Sha Tin, New Territories",Sha Tin,22.42166,114.226755
