Station Name,Address,Plus Code,Latitude,Longitude,Type,Sub type,Number of charger,Location description,Created,Station Chinese Name,Tested by Noah customers,Remarks
Eight Commercial Tower,"8 Sun Yip Street, Chai Wan",7PJP768W+QW,22.266937499999997,114.24731250000002,7,Floating,,,,8號商業廣場,,
909 Cheung Sha Wan Road,"909 Cheung Sha Wan Road, Cheung Sha Wan",7PJP84PW+CG,22.336148412008054,114.14632748760224,7,Floating,,,,長沙灣道909號,,
Admiralty Car Park,"Rodney Street, Queensway, Admiralty",7PJP75H8+78,22.2781875,114.16581249999996,7,Floating,,,,金鐘停車場,,
AEON Lai Chi Kok Store,"1/F & 2/F Aquamarine, 8 Sham Shing Road, Lai Chi Kok",7PJP84JX+VC,22.332187500000003,114.14856250000003,7,Floating,,,v,AEON (荔枝角店),,
apm,"418 Kwun Tong Road, Kwun Tong",7PJP866G+X3,22.3124375,114.2251875,7,Floating,,,v,apm,,
Austin Tower,"22-26A Austin Avenue, Tsim Sha Tsui",7PJP853G+63,22.303062499999996,114.17518749999999,7,Floating,,,,好兆年行,,
Bellagio Visitor Car Park,"3 Castle Peak Road, Sham Tseng",7PJP9385+RG,22.36706249999999,114.05881250000004,4,Floating,,,,碧堤半島訪客停車場,,
Blossom Garden,"11 Leung Tak Street, Tuen Mun",7PJMCX59+5C,22.407937500000003,113.96856249999996,7,Floating,,,,寶怡花園,,
Botania Villa,"138 Fuk Hang Tsuen Road, Tuen Mun",7PJMCX9P+58,22.417937500000008,113.98581250000001,7,Floating,,,,綠怡居,,
Brill Plaza,"84 To Kwa Wan Road, To Kwa Wan",7PJP859R+79,22.318187499999993,114.19093750000002,7,Floating,,,,環凱廣場,,
Capital Building,"85-95 Un Chau Street, Sham Shui Po",7PJP85M6+3X,22.33268749999999,114.16243749999995,7,Floating,,,,金必多大廈,,
Castello,"Siu Lek Yuen Road, Shatin",7PJP96M7+8X,22.383312499999988,114.21493749999996,7,Floating,,,,帝堡城,,
CCT Telecom Building,"11 Wo Shing Street, Fo Tan",7PJP95WX+W2,22.397312499999998,114.1975625,7,Floating,,,,中建電訊大廈,,
Centre Parc,"11 Sheung Yuet Road, Kowloon Bay",7PJP86C5+QF,22.32193749999999,114.2086875,7,Floating,,,,新明大廈,,
Chelsea Heights,"1 Shek Pai Tau Path, Tuen Mun",7PJMCX2F+5G,22.40043750000001,113.97381250000001,7,Floating,,,,卓爾廣場,,
Chi Fu Landmark,"Chi Fu Road, Pok Fu Lam",7PJP745Q+4G,22.257812499999986,114.13881250000009,7,Floating,,,,置富南區廣場,,
Chi Shin Street Carpark,"Chi Sin Street, Tseung Kwan O",7PJP8736+X2,22.304928573948132,114.26010648474117,3,Floating,,,,至善街停車場,,
China Hong Kong City,"33 Canton Rd, Tsim Sha Tsui",7PJP8529+64,22.300562499999998,114.16781249999997,7,Floating,,,,中港城,,
Chinachem Tsuen Wan Plaza,"455 Castle Peak Road, Tsuen Wan",7PJP94G6+3G,22.375187499999996,114.11131250000005,7,Floating,,,,華懋荃灣廣場,,
Citygateoutlets P2,"20 Tat Tung Rd, Tung Chung",7PJM7WQR+X9,22.289937499999994,113.94093750000002,7,Floating,,,v,東薈城 P2,,
Cityplaza,"18 Tai Koo Shing Rd, Quarry Bay",7PJP76P8+MX,22.2866875,114.21743749999996,7,Floating,,,v,太古城中心,,
Citywalk,"1 Yeung Uk Rd, Tsuen Wan",7PJP9497+RF,22.369562499999986,114.11368750000003,7,Floating,,,v,荃新天地,,
Coda Plaza,"Basement Level 1-4, 51 Garden Road, Central",7PJP75G4+GF,22.276312500000003,114.15618749999999,7,Floating,,,,科達中心,,
Concord Square,"1 Tai Uk Street, Tsuen Wan",7PJP9498+V3,22.369687499999998,114.11518750000005,7,Floating,,,,協和廣場,,
Cos Centre,"56 Tsun Yip St, Kwun Tong",7PJP866F+C2,22.311062500000006,114.22256249999998,7,Floating,,,,中海日升中心,,
East Point City,"8 Chung Wa Road, Tseung Kwan O",7PJP8788+Q5,22.316937499999995,114.26543750000002,7,Floating,,,,東港城,,
East Town Building,"41 Lockhart Road, Wan Chai",7PJP75HC+C7,22.278562500000007,114.17068749999999,7,Floating,,,,東城大廈,,
Eight Regency,"8 Leung Tak Street, Tuen Mun",7PJMCX59+23,22.407562499999997,113.96768750000001,7,Floating,,,,珀御,,
Eightland Gardens,"2 On Chee Road, Tai Po",7PJPF528+XM,22.452437500000002,114.16668749999997,7,Floating,,,,八號花園,,
Eldo Garden,"126 Heung Sze Wui Road, Tuen Mun",7PJM9XXG+96,22.398437499999986,113.97556249999997,7,Floating,,,,雅都花園,,
Evergreen Court,"9 Chui Lok Street, Tai Po",7PJPF537+GF,22.453812499999998,114.16368749999998,7,Floating,,,,翠林閣,,
Fortune Plaza,"4 On Chee Road, Tai Po",7PJPF539+26,22.4525625,114.16806249999996,7,Floating,,,,昌運中心,,
Fu Shing Building,"9 Sai Ching Street, Yuen Long",7PJPC2RH+X4,22.44243750000001,114.02781249999998,7,Floating,,,,富盛大廈,,
Fung Nam Road Car Park,"Fung Nam Road, Sheung Shui",7PJPG44H+X5,22.50745373313296,114.12787369610375,3,Floating,,,,鳳南路停車場,,
Grandway Garden,"16 Mei Tin Road / 15&35 Tsuen Nam Road, Tai Wai",7PJP95FG+CX,22.37356249999999,114.17743749999994,7,Floating,,,,富嘉花園,,
Harbour Heights (Open Space) Car Park,"Electric Road, North Point",7PJP75QR+76,22.288187499999992,114.1905625,3,Floating,,,,海峰園 (露天)停車場,,
Harbour North,"1 North Point Estate Lane, North Point",7PJP75VX+4H,22.292812499999997,114.1989375,7,Floating,,,v,北角匯,,
